Openness,Agreeable,Neuroticism,Extroversion,Conscientious,class
-0.5115175456257033,-0.48888669948907937,-0.02800293473388593,-0.5124491040205267,0.4867989961901551,5
-0.32752980498317985,0.8357566814786774,0.9998260553058907,-0.24396534345314752,0.4910719795538439,3
-0.5091256803258517,-0.4572717516474145,0.3490789132757366,-0.5087545798491709,0.49058840783854185,5
0.2812028937258102,0.2811915586610926,0.2812028937258102,-0.5354560732660082,-0.971681286240671,1
-0.4609647249845705,0.08095050776992624,0.9999922842268572,-0.46549390698014764,0.5109752799080192,3
-0.4954706566222066,-0.43863056094472164,0.7649755738485874,-0.4457640670060672,0.5016719504043219,3
-0.39393034972321334,0.9988349689780304,0.9999995238312046,0.9838484297481274,0.49983348624661583,3
0.15418491073084095,0.15419462332824735,0.15068487028950972,0.15443489311479475,0.7785490471101869,5
-0.2607272382586505,-0.24866331576189404,0.9843964238903065,-0.09001913689276073,0.7001798979970189,3
-0.4502049829187169,-0.4069945016894267,0.9911103883953155,-0.45807177117207887,0.5374896452142223,3
-0.564901893153294,-0.5128482811259343,-0.4292663522384845,-0.5649016315775628,0.43188498534334063,5
-0.8042009207030947,-0.8041934428670507,-0.8042009207030947,-0.8041862487339837,0.9168291843948255,5
-0.06920454978893656,0.6945380182750243,0.9820239312706649,-0.03291737180603985,0.6621122562868411,3
-0.5086830288944774,-0.5087212147620626,-0.5086830288944773,-0.4912664134116699,-0.4912664134116699,0
-0.4953854146159198,-0.49541613080538555,-0.49538541461591973,-0.4957176106932369,-0.504600432524752,0
-0.4667815551641042,-0.3835113022466061,0.9999910950803871,-0.44769826239693755,0.5120834813500855,3
-0.7385049238313041,-0.7384798437126442,-0.7385049238313042,-0.7385033537433372,0.9531684302772732,5
-0.12949162236928755,0.9968097262826888,1.0,-0.19087260562903513,0.5,3
-0.47056561026676,-0.47058330478055743,-0.4705656102667601,-0.4705950879525518,-0.5288677067592077,0
-0.49163252019743753,0.6729416686922417,0.9992570662831903,0.9740435015048088,0.5015901189664236,3
-0.5050844742169408,0.3690340547962381,0.9762847659122673,-0.5019352502915945,0.4933653542319295,3
-0.49388958819478285,-0.15928460026331115,0.9668360543171379,-0.48399099125177125,0.5018686069141219,3
-0.5027081891026519,-0.4302445820016527,0.9992854324307631,-0.4915180618662133,0.4948481382620552,3
-0.5047841453013209,-0.18523933468818685,0.035721610802646686,-0.4762976338263829,0.49472241908769243,5
-0.4359875111226982,0.9396753763473895,0.9995828668901673,0.3314635247898018,0.47595994657162477,3
-0.4046836209475484,-0.36416180487862004,0.9760720160870224,-0.40839123270519506,0.5808992897395424,3
-0.5232715309198388,-0.10916952805427227,0.9989758617481885,-0.4600335514852345,0.46603124658106077,3
0.14051250390626502,0.9639895737676462,0.9950102759298065,0.9952154819913729,0.5839106533882121,4
-0.34973011034320167,-0.3234395222493478,0.9999992393150636,-0.014228280424851164,0.627658817196579,3
-0.4574614363464425,0.0041119396581557055,0.998507362779573,-0.3119198085142777,0.5227152641010187,3
-0.49463128345102303,-0.4884554479105361,-0.25111292206503044,-0.49093505313715546,0.5051267089631362,5
0.994902931407621,0.9989184054862658,0.998251322130854,0.9936004042753335,0.5510560706530774,2
-0.49288110390006845,-0.4722743752430016,0.6970042348082206,-0.48335030608993246,0.5043657505112648,3
-0.38937539941299654,0.9066305183807051,0.9988070177519996,-0.39587852301113946,0.472104314957319,3
-0.3229322859044369,0.9909356283901553,0.9998549521756533,0.19084144284747084,0.48581706079175735,3
-0.3858838501361428,0.09721065533975587,0.9935521673807155,0.9415999714141345,0.5269681614509641,3
